milk_1000lb_per_acre,p_bal_per_acre
0,2.49
0,-1.85
0,-5
0.61,4.42
0.63,5.01
0.69,2.12
0.71,1.68
0.74,4.2
0.84,3.09
0.84,2.49
1.05,5.39
1.08,2.72
1.11,2.5
1.21,-0.62
1.24,0.79
1.32,2.65
1.37,-1.73
1.42,-1.28
1.58,3.76
1.61,1.02
1.63,2.35
1.82,-0.39
1.87,5.24
1.9,1.17
1.92,6.06
1.98,3.46
2,-1.13
2,-1.5
2.03,1.39
2.08,0.2
2.11,4.43
2.19,6.51
2.37,4.43
2.45,5.4
2.48,2.73
2.53,0.43
2.58,7.03
2.61,4.43
2.64,-0.46
2.74,8.22
2.74,4.95
2.77,-0.83
2.79,7.03
2.82,1.17
2.82,-3.95
2.85,-0.24
2.87,-2.09
2.95,3.47
2.98,-1.65
3.03,9.48
3.03,5.18
3.06,8.81
3.08,-1.05
3.22,2.95
3.22,0.21
3.24,9.78
3.24,-7.87
3.27,1.32
3.3,5.25
3.32,6.36
3.38,-1.5
3.43,10.3
3.43,3.99
3.51,13.41
3.64,12.52
3.69,9.78
3.8,4.07
3.82,6.81
3.85,9.56
3.88,11.34
3.88,1.47
3.9,8.52
3.9,2.73
3.93,6.29
3.93,4.14
3.96,13.04
4.01,0.95
4.03,15.64
4.03,7.26
4.14,1.33
4.19,9.78
4.19,-1.49
4.22,4
4.27,10.67
4.3,9.19
4.38,-0.45
4.43,-2.45
4.46,15.64
4.46,6.82
4.51,2.81
4.56,8.3
4.61,5.78
4.64,7.11
4.69,5.26
4.69,3.11
4.75,12.08
4.77,9.19
4.77,7.34
4.77,1.55
4.77,-0.23
4.83,3.63
4.85,14.23
4.85,10.67
4.9,6.74
4.9,4.67
4.9,2.07
4.98,8.45
5.09,10.68
5.12,14.9
5.12,-1.49
5.3,9.71
5.3,3.63
5.33,20.84
5.33,11.71
5.33,6.08
5.35,17.94
5.35,1.33
5.38,17.28
5.48,13.5
5.48,4.52
5.54,8.16
5.54,2.52
5.59,3.78
5.64,9.94
5.64,2.08
5.67,15.35
5.75,4.52
5.77,4.15
5.88,24.55
5.88,-7.64
5.91,21.65
5.91,0.37
5.93,13.13
5.93,4.08
5.96,-3.34
5.99,6.08
6.01,8.53
6.01,5.19
6.01,0.59
6.04,29
6.06,10.46
6.12,16.84
6.12,14.02
6.2,15.65
6.22,7.12
6.28,-2.59
6.3,3.27
6.3,-3.33
6.35,-6.3
6.41,13.43
6.41,11.42
6.41,9.35
6.43,9.05
6.49,9.64
6.54,17.21
6.57,31.74
6.59,14.76
6.59,6.75
6.62,2.97
6.67,20.03
6.72,14.32
6.75,10.54
6.78,0.15
6.8,8.46
6.8,0.01
6.83,8.16
6.83,7.5
6.83,2.68
6.86,5.72
